,SERVICES,SERVICE_DATA,MIN_ALL,MIN_ANALYSIS,MIN_PLANNING,MIN_EXECUTION,MAX_ALL,MAX_ANALYSIS,MAX_PLANNING,MAX_EXECUTION,AVG_ALL,AVG_ANALYSIS,AVG_PLANNING,AVG_EXECUTION,STD_ALL,STD_ANALYSIS,STD_PLANNING,STD_EXECUTION
G2.3.1,10,10,2.5840126909315586e-06,0.0001014590379782021,0.00030133401742205024,0.00017666700296103954,1.60830095410347e-05,0.0005059170071035624,0.0004445830127224326,0.0020354579901322722,2.7545356535130763e-06,0.0001034537948337712,0.00030471442515699667,0.00018104935576306172,9.301363240339938e-08,7.744318967753258e-06,4.480160728922764e-06,2.55786957349358e-05
G2.3.2,10,10,2.582964953035116e-06,0.00010000000474974513,0.00029799999902024865,0.0001769590307958424,3.374996595084667e-06,0.00028191704768687487,0.0037590419524349272,0.00033437495585530996,2.661978018687603e-06,0.00010245647682521524,0.00031250110117739174,0.00018091597131140048,4.9278288442361175e-08,2.3374791770911664e-06,0.00010727205296428866,3.2232704723621135e-06
G2.3.3,10,10,2.167013008147478e-06,8.141697617247701e-05,0.00023849995341151953,0.00011229200754314661,2.8329668566584587e-06,0.00024387502344325185,0.003850792010780424,0.00031825003679841757,2.2609708069537123e-06,8.422617247624049e-05,0.00025705970513979206,0.00011495570954019651,4.684608904626308e-08,2.8264791661737667e-06,0.0001332625584603378,3.2990850987563325e-06
G4.2.1,10,10,2.1249870769679546e-06,8.279201574623585e-05,0.00024287501582875848,0.00014650000957772136,0.0013842500047758222,0.00023341696942225099,0.0003689169534482062,0.000843666959553957,2.284118924817879e-06,8.525959906831459e-05,0.0002486015192926373,0.00015132198207036676,3.495166905415103e-06,2.2067116036063013e-06,3.0651285777842054e-06,1.0071299258373626e-05
G4.2.2,10,10,3.00002284348011e-06,0.00012383400462567806,0.0003862919984385371,0.0002232920378446579,8.583010639995337e-06,0.005690041987691075,0.0004789999802596867,0.000866832968313247,3.1322707770747623e-06,0.00012905912031112217,0.00039416379378105293,0.00023034214672891458,1.0235059896825416e-07,6.718275842124365e-05,4.313522514902382e-06,1.3021277348914784e-05
G4.2.3,10,10,2.1659652702510357e-06,8.466700091958046e-05,0.0002476670197211206,0.00014766596723347902,2.9579969123005867e-06,0.00012266699923202395,0.000979832955636084,0.0002822920214384794,2.2329560488058446e-06,8.628366654763813e-05,0.00025147488960407846,0.00015175445212957424,4.1665181625500345e-08,9.146128353374141e-07,1.6480582190072967e-05,3.1658565197746573e-06
G2.3.1,10,25,2.6249908842146397e-06,0.00023141701240092516,0.0006931249517947435,0.0003249580040574074,3.167020622640848e-06,0.0003748750314116478,0.0019805830088444054,0.004183332959655672,2.7128397140744304e-06,0.00023739764215027347,0.0007104186343508184,0.0003417959413530255,5.319207608788443e-08,3.1603431357248797e-06,3.7533326578660675e-05,0.00012655015021204862
G2.3.2,10,25,2.582964953035116e-06,0.0002305000089108944,0.0007003750069998205,0.00040858297143131495,5.458015948534012e-06,0.0011901670368388295,0.0007377919973805547,0.0017027080175466835,2.738855652172457e-06,0.00023872740745874328,0.0007059527934374769,0.00042033167774757705,1.9008721960744108e-07,2.2851312065490323e-05,3.614540435620427e-06,2.8265748671397092e-05
G2.3.3,10,25,3.0829687602818012e-06,0.00028137501794844866,0.0008627090137451887,0.00041624996811151505,4.375004209578037e-06,0.0006365830195136368,0.0010226669837720692,0.0016281669959425926,3.1549585196123996e-06,0.0002913323972540079,0.0008839505557667883,0.000421584460152214,1.5510979386342654e-07,1.314340482450316e-05,6.295756191838071e-06,2.7155664619179227e-05
G4.2.1,10,25,3.04199056699872e-06,0.00029379199258983135,0.0008997499826364219,0.0005272080306895077,3.875000402331352e-06,0.0006880420260131359,0.0012080420274287462,0.0006986249936744571,3.131295951680212e-06,0.0003021388348056994,0.0009256328541611448,0.0005402160812038645,5.836647944142525e-08,9.680858653393649e-06,1.847749231112369e-05,5.868791526904506e-06
G4.2.2,10,25,3.0829687602818012e-06,0.00029499997617676854,0.0009027079795487225,0.00043570902198553085,1.0791001841425896e-05,0.00033825001446530223,0.001302707998547703,0.0004914170131087303,3.1919153015216285e-06,0.0002995251644214442,0.0009297530408797751,0.0004391561991042585,2.3851881237726575e-07,2.0978866245348607e-06,2.5229649864797258e-05,2.627148509327518e-06
G4.2.3,10,25,3.0410010367631912e-06,0.00029449997236952186,0.0008989579509943724,0.0004285000031813979,3.7080026231706142e-06,0.0020792080322280526,0.0013846249785274267,0.0012478330172598362,3.132293297147209e-06,0.0003033741104889309,0.0009186426113246244,0.000437025832547878,5.546287441333027e-08,3.226180229743996e-05,1.618434030999974e-05,2.3061880972757264e-05
G2.3.1,10,50,3.0840164981782436e-06,0.0005449589807540178,0.0016952080186456442,0.0009792089695110917,3.7499703466892242e-06,0.0007384579512290657,0.0020963330171070993,0.0013483340153470635,3.1640127228645537e-06,0.0005574132591120119,0.0017209940660294473,0.0010026511649807604,7.626243917522323e-08,5.7971616491514125e-06,3.320372096894256e-05,1.373454527807558e-05
G2.3.2,10,50,2.6249908842146397e-06,0.00044916599290445447,0.0013441659975796938,0.000634833995718509,3.333028871566057e-06,0.0007643330027349293,0.003808500012382865,0.0008731659618206322,2.6906181642032684e-06,0.0004606828490922455,0.0013831577189575442,0.0006502605743443529,7.637664338354722e-08,7.034030622532612e-06,0.00010265003043017783,1.1825228311327417e-05
