,SERVICES,SERVICE_DATA,MIN,MAX,AVG,STD
G2.3.1,10,10,0.00039908301550894976,0.0007780830492265522,0.0004056610249348379,1.734138090305022e-05
G2.3.2,10,10,0.0004025409580208361,0.0035370420082472265,0.00040836212006030274,6.958697652340544e-05
G2.3.3,10,10,0.0003700000233948231,0.0018499590223655105,0.0003766041232895169,3.195060446247585e-05
G4.2.1,10,10,0.0005684579955413938,0.0006228330312296748,0.0005718862495203048,2.6134089735698635e-06
G4.2.2,10,10,0.0002288749674335122,0.0002591669908724725,0.00023083918379349845,1.6026043209243833e-06
G4.2.3,10,10,0.00037645798875018954,0.0006154580041766167,0.00038613556893106607,8.309195427693577e-06
G2.3.1,10,25,0.0009226249530911446,0.003932375053409487,0.0009519117913052884,9.8200709198573e-05
G2.3.2,10,25,0.0009123749914579093,0.0010679999832063913,0.0009441954751147922,1.4217620809084572e-05
G2.3.3,10,25,0.0005055830115452409,0.0007211670163087547,0.0005233238432783869,1.3378835358238997e-05
G4.2.1,10,25,0.0005299579934217036,0.0011163330054841936,0.0005430160610814114,2.0319521717897934e-05
G4.2.2,10,25,0.0005247500375844538,0.002012957993429154,0.0005414015752396828,4.067737086703071e-05
G4.2.3,10,25,0.0005351669969968498,0.0010397090227343142,0.000538792420178059,1.2984313685987465e-05
G2.3.1,10,50,0.0009808750473894179,0.0014078340027481318,0.0010055194825511725,2.4287784160863006e-05
G2.3.2,10,50,0.0018122909823432565,0.0021712500019930303,0.0018285621741884633,3.963403641858861e-05
G2.3.3,10,50,0.001600207993760705,0.0019344579777680337,0.0016321844161427874,1.6464211354728187e-05
G4.2.1,10,50,0.0010267080506309867,0.0032008339767344296,0.0010554499491442905,9.340694919192269e-05
G4.2.2,10,50,0.0010289589990861714,0.0013963329838588834,0.0010560748946528001,2.6064909457791546e-05
G4.2.3,10,50,0.0009966660290956497,0.0014852079912088811,0.0010243566961520734,2.6669741917149276e-05
G2.3.1,10,100,0.004122540995012969,0.004345292050857097,0.004222723195882548,1.3657151997196184e-05
G2.3.2,10,100,0.0019253749633207917,0.002139875025022775,0.001965673772743746,1.4984660723880679e-05
G2.3.3,10,100,0.001925000047776848,0.003061791998334229,0.0019830855924910158,7.175322964281048e-05
G4.2.1,10,100,0.002020958054345101,0.0038803750067017972,0.0020685512708891953,9.461082038264401e-05
G4.2.2,10,100,0.00199983298080042,0.0032321250182576478,0.0020509571636786687,6.489583779233962e-05
G4.2.3,10,100,0.0020050000166520476,0.0024064170429483056,0.002047678705440053,2.656554800405267e-05
G2.3.1,25,10,0.0024994589621201158,0.0026211669901385903,0.0025527313670321928,9.589249842716712e-06
G2.3.2,25,10,0.002292583987582475,0.003365167009178549,0.0023467096975697886,6.812155418694593e-05
G2.3.3,25,10,0.00229704100638628,0.04033574997447431,0.0024555678295049197,0.0018848190992010383
G4.2.1,25,10,0.0026165409944951534,0.003218958037905395,0.002694082048482313,4.357216173180701e-05
G4.2.2,25,10,0.0013531669974327087,0.0018525419873185456,0.001384403073768981,2.2850914923658817e-05
G4.2.3,25,10,0.002423832949716598,0.003901124990079552,0.0024871059782064758,9.186777717845205e-05
G2.3.1,25,25,0.003045415971428156,0.004886124981567264,0.0031149755235708523,0.00012515173636080943
G2.3.2,25,25,0.0056190420291386545,0.006434249982703477,0.005731068714657192,0.00011560017295671978
G2.3.3,25,25,0.005569916043896228,0.006240708054974675,0.0056736069517765745,6.464148742404144e-05
G4.2.1,25,25,0.005969375022687018,0.006341459054965526,0.006080707075875025,4.026816803374774e-05
G4.2.2,25,25,0.006033416953869164,0.0064208340481854975,0.006156833286350882,5.381717229419161e-05
G4.2.3,25,25,0.003128124983049929,0.004602207976859063,0.0032082559935916522,0.00010992221428752651
G2.3.1,25,50,0.005968167039100081,0.0069814170128665864,0.006022839297836554,0.00013584516239536102
G2.3.2,25,50,0.01146529201650992,0.01304566697217524,0.011705633648269778,0.00019019433046852413
G2.3.3,25,50,0.0059603750123642385,0.006633082986809313,0.006079837664601211,7.129364558714914e-05
G4.2.1,25,50,0.006178874988108873,0.008333457983098924,0.006317459943614179,0.00019426648412495075
G4.2.2,25,50,0.006221374962478876,0.0065619589877314866,0.006355361246455509,3.112467632811614e-05
G4.2.3,25,50,0.006260916998144239,0.0067490829969756305,0.006389946086344376,5.071830943848198e-05
G2.3.1,25,100,0.022382791968993843,0.0231221669819206,0.022642974454687315,0.00017977657280838382
G2.3.2,25,100,0.011770292010623962,0.012345041963271797,0.012021266355565408,6.373363642991781e-05
G2.3.3,25,100,0.02201054198667407,0.02271687495522201,0.022281358350947914,8.062008525143209e-05
G4.2.1,25,100,0.012127624999266118,0.01265387499006465,0.012333919331285869,6.079900326386669e-05
G4.2.2,25,100,0.012200792029034346,0.013205208990257233,0.012422315320028797,9.71090629039504e-05
G4.2.3,25,100,0.012086875038221478,0.012582208029925823,0.012303521450667177,7.286727806154392e-05
G2.3.1,50,10,0.009279499994590878,0.009692666004411876,0.009444551182622534,4.148561263773543e-05
G2.3.2,50,10,0.009062332974281162,0.009628792002331465,0.009209797490189818,8.382573962614214e-05
G2.3.3,50,10,0.008844208030495793,0.009462792018894106,0.009059887367871229,7.342613319934096e-05
G4.2.1,50,10,0.009875666990410537,0.010352207988034934,0.010057048849770893,7.676322926382583e-05
G4.2.2,50,10,0.01036808401113376,0.012723207997623831,0.01062142577211489,0.00028781252776209854
G4.2.3,50,10,0.010140415979549289,0.011174416984431446,0.010407758021979041,0.00017500355397458383
G2.3.1,50,25,0.022349499980919063,0.024772708013188094,0.022826399024213767,0.0004203999754261288
G2.3.2,50,25,0.021582957997452468,0.023675750009715557,0.02206079872508355,0.0003553206508215869
G2.3.3,50,25,0.02283437503501773,0.025927500042598695,0.02335080589347688,0.0005007297792487236
G4.2.1,50,25,0.012398666993249208,0.013696166977752,0.012571277127426584,0.00016803577067151808
G4.2.2,50,25,0.02384795801481232,0.024975250009447336,0.024090435620607985,0.00023796382581480624
