,SERVICES,SERVICE_DATA,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
10_10,10,10,0.4,1.0,0.9625,0.48989794855663565,0.0,0.075
10_25,10,25,1.0,1.0,0.788888888888889,0.0,0.0,0.07370277311900886
10_50,10,50,1.0,1.0,0.7633333333333333,0.0,0.0,0.04760952285695236
10_100,10,100,0.8,1.0,0.7171428571428571,0.4,0.0,0.1510706311660444
25_10,25,10,1.0,1.0,0.891965148378192,0.0,0.0,0.05110758333929767
25_25,25,25,1.0,1.0,0.8752200577200577,0.0,0.0,0.055818221938845045
25_50,25,50,1.0,1.0,0.9001861111111111,0.0,0.0,0.01670328292563553
25_100,25,100,1.0,1.0,0.8654753623188407,0.0,0.0,0.04939012275384532
50_10,50,10,0.96,1.0,0.9610885551646422,0.04898979485566355,0.0,0.019121966568337066
50_25,50,25,1.0,1.0,0.9488569760139812,0.0,0.0,0.03482298083157462
50_50,50,50,1.0,1.0,0.927523964131107,0.0,0.0,0.0311229482043179
50_100,50,100,1.0,1.0,0.9457291666666666,0.0,0.0,0.015075331671309903
100_10,100,10,0.9541666666666666,1.0,0.9714742411995736,0.06508541396588877,0.0,0.01328515284459123
100_25,100,25,0.9916666666666666,1.0,0.9726825575033308,0.016666666666666653,0.0,0.010226059495175572
100_50,100,50,1.0,1.0,0.9768701374853805,0.0,0.0,0.006859837556495222
100_100,100,100,1.0,1.0,0.961415892071971,0.0,0.0,0.017797583088297347
