,SERVICES,SERVICE_DATA,AVG_SUCC_RATE_OUR,AVG_SUCC_RATE_SOA,AVG_SATISFACTION,STD_SUCC_RATE_OUR,STD_SUCC_RATE_SOA,STD_SATISFACTION
10_10,10,10,0.6199999999999999,0.0,0.5916666666666666,0.17204650534085253,0.0,0.0465474668125631
10_25,10,25,0.5599999999999999,0.0,0.5636666666666666,0.24166091947189142,0.0,0.06638607618402458
10_50,10,50,0.58,0.0,0.5444222222222223,0.17204650534085256,0.0,0.022065267942690325
10_100,10,100,0.64,0.0,0.532619047619048,0.20591260281974003,0.0,0.024111536930522023
25_10,25,10,0.688,0.0,0.6238838612368024,0.0926066952223218,0.0,0.0349384783421535
25_25,25,25,0.632,0.0,0.6036852130325815,0.06881860213634101,0.0,0.03076481035732037
25_50,25,50,0.6559999999999999,0.0,0.5955071428571431,0.0932952303175248,0.0,0.006665253251529846
25_100,25,100,0.6880000000000001,0.0,0.5944173202614382,0.06881860213634103,0.0,0.007706609616044107
50_10,50,10,0.628,0.0,0.6355344718532574,0.05741080037762929,0.0,0.02041070783760874
50_25,50,25,0.664,0.0,0.6032998848130428,0.0752595508889071,0.0,0.013753207386809949
50_50,50,50,0.724,0.0,0.6020588058999825,0.055713553108736484,0.0,0.011234943338885296
50_100,50,100,0.7040000000000001,0.0,0.5980173335099809,0.038781438859330615,0.0,0.006032796184935776
100_10,100,10,0.6619999999999999,0.0,0.6513317294525424,0.023151673805580444,0.0,0.014953752078198154
100_25,100,25,0.674,0.0,0.6130688845019368,0.03261901286060017,0.0,0.016356812206008407
100_50,100,50,0.758,0.0,0.6027121347286909,0.05192301994298869,0.0,0.002587050199420376
100_100,100,100,0.718,0.0,0.599424788255651,0.03867815921162745,0.0,0.003914961223086384
