service,setting,name,sd0,req0,sd1,req1,sd2,req2,sd3,req3,sd4,req4,sd5,req5,sd6,req6,sd7,req7,sd8,req8,sd9,req9,sd10,req10,sd11,req11,sd12,req12,sd13,req13,sd14,req14,sd15,req15,sd16,req16,sd17,req17,sd18,req18,sd19,req19,sd20,req20,sd21,req21,sd22,req22,sd23,req23,sd24,req24,policy,change
0,G3.1.3,service0,"(1, False)","([0, 2], 0, False)","(0, True)","([0, 2], 0, False)","(2, True)","([0, 2], 0, True)","(1, True)","([0, 2], 0, False)","(0, False)","([1, 2], 1, True)","(1, True)","([0, 2], 0, True)","(2, False)","([2, 2], 0, True)","(0, False)","([2, 2], 0, True)","(0, True)","([2, 2], 1, False)","(1, False)","([1, 2], 0, True)","(0, True)","([0, 2], 0, True)","(1, False)","([2, 2], 1, True)","(1, False)","([1, 2], 1, False)","(1, False)","([0, 2], 0, False)","(0, False)","([2, 2], 1, False)","(2, False)","([2, 2], 0, True)","(0, False)","([1, 2], 1, False)","(1, False)","([0, 2], 1, True)","(2, True)","([0, 2], 0, True)","(1, True)","([1, 2], 0, True)","(2, True)","([0, 2], 0, False)","(2, False)","([1, 2], 1, True)","(0, False)","([1, 2], 1, False)","(1, True)","([2, 2], 0, True)","(0, False)","([0, 2], 0, True)","[0.3, 0.6]","[('sd21', 1), ('sd7', 1), ('sd23', 2)]"
1,G3.1.3,service1,"(0, False)","([1, 2], 1, True)","(1, False)","([2, 2], 1, False)","(1, True)","([0, 2], 1, False)","(1, True)","([0, 2], 1, True)","(1, True)","([2, 2], 0, False)","(1, False)","([1, 2], 0, False)","(1, False)","([0, 2], 0, False)","(2, True)","([0, 2], 0, True)","(1, False)","([0, 2], 1, True)","(0, False)","([1, 2], 0, False)","(2, False)","([0, 2], 0, False)","(1, False)","([1, 2], 1, False)","(1, True)","([1, 2], 1, False)","(1, False)","([0, 2], 0, True)","(1, False)","([0, 2], 0, False)","(1, False)","([1, 2], 1, True)","(0, False)","([2, 2], 0, True)","(1, False)","([0, 2], 1, False)","(0, True)","([1, 2], 1, True)","(1, False)","([1, 2], 1, True)","(0, False)","([1, 2], 0, False)","(0, True)","([2, 2], 0, False)","(0, True)","([2, 2], 0, False)","(2, True)","([2, 2], 1, False)","(1, True)","([2, 2], 0, True)","[0.6, 0.9]",[]
2,G3.1.3,service2,"(1, False)","([0, 2], 1, False)","(1, True)","([0, 2], 0, False)","(2, False)","([1, 2], 0, True)","(1, True)","([1, 2], 1, False)","(0, True)","([0, 2], 1, True)","(2, True)","([1, 2], 0, False)","(0, True)","([1, 2], 1, False)","(1, True)","([0, 2], 0, False)","(1, False)","([2, 2], 0, False)","(0, False)","([0, 2], 1, True)","(2, False)","([2, 2], 1, True)","(0, True)","([2, 2], 1, True)","(1, False)","([1, 2], 0, True)","(0, False)","([0, 2], 1, True)","(0, True)","([0, 2], 1, False)","(1, True)","([2, 2], 1, True)","(1, True)","([0, 2], 0, False)","(2, False)","([1, 2], 0, True)","(0, False)","([2, 2], 1, False)","(0, False)","([0, 2], 1, True)","(2, False)","([2, 2], 0, False)","(1, True)","([1, 2], 0, False)","(2, True)","([0, 2], 1, True)","(1, True)","([0, 2], 0, False)","(1, True)","([1, 2], 0, True)","[0.3, 0.6]","[('sd1', 0), ('sd19', 1), ('sd3', 2)]"
3,G3.1.3,service3,"(0, True)","([0, 2], 0, True)","(1, False)","([0, 2], 0, False)","(0, False)","([2, 2], 1, False)","(0, True)","([1, 2], 0, True)","(1, False)","([0, 2], 0, True)","(1, True)","([2, 2], 0, True)","(1, True)","([0, 2], 0, True)","(2, True)","([0, 2], 1, True)","(0, False)","([0, 2], 0, True)","(2, True)","([0, 2], 0, True)","(2, True)","([2, 2], 0, True)","(1, True)","([1, 2], 0, False)","(2, False)","([2, 2], 1, False)","(0, True)","([0, 2], 0, False)","(1, False)","([0, 2], 1, True)","(2, True)","([2, 2], 1, False)","(1, True)","([1, 2], 0, True)","(1, False)","([1, 2], 0, True)","(0, False)","([0, 2], 0, True)","(1, True)","([2, 2], 0, True)","(1, True)","([1, 2], 1, False)","(1, True)","([1, 2], 1, True)","(0, False)","([1, 2], 0, True)","(0, True)","([2, 2], 0, True)","(1, False)","([1, 2], 1, True)","[0.3, 0.6]","[('sd16', 2), ('sd6', 0), ('sd19', 0), ('sd15', 1), ('sd23', 1), ('sd1', 0), ('sd2', 1)]"
4,G3.1.3,service4,"(1, False)","([2, 2], 0, False)","(1, True)","([2, 2], 0, False)","(1, False)","([1, 2], 1, True)","(1, False)","([1, 2], 1, True)","(1, True)","([2, 2], 1, True)","(0, False)","([1, 2], 1, False)","(1, False)","([2, 2], 0, True)","(1, True)","([1, 2], 0, True)","(0, True)","([0, 2], 1, True)","(1, True)","([1, 2], 0, False)","(0, True)","([0, 2], 0, False)","(1, True)","([1, 2], 0, False)","(2, True)","([0, 2], 0, True)","(1, False)","([0, 2], 0, False)","(0, False)","([0, 2], 0, True)","(2, True)","([0, 2], 0, True)","(1, True)","([2, 2], 1, True)","(1, True)","([0, 2], 0, True)","(1, False)","([0, 2], 1, True)","(1, False)","([0, 2], 1, True)","(1, False)","([0, 2], 1, False)","(1, False)","([1, 2], 0, False)","(2, True)","([1, 2], 0, False)","(1, False)","([1, 2], 1, False)","(2, True)","([2, 2], 0, False)","[0.3, 0.6]","[('sd23', 0), ('sd6', 0), ('sd3', 2), ('sd0', 0), ('sd14', 1)]"
5,G3.1.3,service5,"(1, False)","([1, 2], 0, False)","(1, True)","([2, 2], 1, False)","(1, True)","([1, 2], 1, True)","(1, True)","([0, 2], 1, True)","(1, True)","([1, 2], 0, True)","(1, True)","([0, 2], 1, True)","(1, True)","([2, 2], 1, False)","(0, True)","([2, 2], 1, False)","(1, False)","([2, 2], 0, True)","(1, False)","([1, 2], 1, False)","(1, False)","([0, 2], 0, False)","(1, True)","([1, 2], 0, False)","(1, True)","([1, 2], 0, False)","(0, True)","([1, 2], 0, False)","(2, True)","([1, 2], 1, True)","(1, True)","([2, 2], 1, True)","(1, False)","([2, 2], 1, False)","(1, False)","([2, 2], 0, True)","(0, False)","([1, 2], 0, True)","(1, False)","([0, 2], 0, False)","(1, True)","([2, 2], 1, True)","(1, False)","([1, 2], 0, False)","(0, True)","([1, 2], 0, False)","(1, True)","([1, 2], 1, False)","(1, True)","([2, 2], 1, True)","[0.6, 0.9]",[]
6,G3.1.3,service6,"(0, True)","([1, 2], 0, True)","(1, True)","([2, 2], 0, False)","(2, True)","([2, 2], 1, True)","(1, True)","([2, 2], 1, True)","(1, True)","([0, 2], 0, False)","(2, True)","([0, 2], 1, False)","(1, True)","([2, 2], 1, True)","(1, False)","([1, 2], 0, True)","(2, True)","([1, 2], 0, True)","(1, False)","([1, 2], 0, False)","(1, False)","([1, 2], 1, True)","(0, True)","([1, 2], 0, False)","(1, False)","([1, 2], 1, False)","(1, True)","([1, 2], 0, False)","(0, False)","([2, 2], 0, True)","(1, False)","([2, 2], 1, False)","(2, True)","([2, 2], 1, True)","(1, True)","([2, 2], 1, True)","(0, False)","([1, 2], 1, False)","(2, False)","([2, 2], 0, True)","(2, False)","([2, 2], 1, True)","(1, True)","([2, 2], 0, False)","(1, True)","([1, 2], 1, False)","(0, True)","([1, 2], 0, True)","(1, False)","([2, 2], 0, True)","[0.3, 0.6]","[('sd5', 1), ('sd9', 0), ('sd7', 0), ('sd3', 0), ('sd13', 0), ('sd22', 0), ('sd15', 0)]"
7,G3.1.3,service7,"(0, False)","([2, 2], 0, False)","(1, False)","([1, 2], 1, False)","(1, False)","([0, 2], 0, False)","(2, True)","([1, 2], 1, True)","(2, True)","([1, 2], 0, False)","(0, True)","([0, 2], 0, True)","(2, True)","([1, 2], 1, True)","(1, False)","([1, 2], 0, False)","(1, False)","([0, 2], 0, False)","(1, False)","([0, 2], 0, True)","(2, True)","([0, 2], 1, True)","(0, False)","([2, 2], 0, False)","(1, True)","([2, 2], 0, True)","(1, True)","([1, 2], 1, False)","(1, False)","([0, 2], 1, False)","(0, False)","([0, 2], 0, True)","(0, True)","([1, 2], 1, True)","(0, False)","([0, 2], 0, False)","(1, False)","([2, 2], 1, True)","(0, False)","([2, 2], 1, True)","(2, False)","([1, 2], 1, True)","(2, False)","([1, 2], 1, True)","(1, False)","([1, 2], 0, True)","(1, False)","([1, 2], 0, True)","(0, True)","([1, 2], 1, True)","[0.6, 0.9]",[]
8,G3.1.3,service8,"(2, True)","([0, 2], 0, True)","(1, True)","([0, 2], 1, True)","(1, False)","([2, 2], 0, False)","(0, True)","([1, 2], 1, False)","(1, False)","([1, 2], 1, True)","(2, False)","([2, 2], 1, True)","(0, True)","([0, 2], 1, True)","(2, True)","([1, 2], 1, False)","(2, False)","([1, 2], 0, True)","(0, True)","([2, 2], 0, True)","(1, True)","([1, 2], 0, True)","(1, False)","([1, 2], 1, True)","(1, True)","([1, 2], 1, True)","(1, True)","([0, 2], 0, True)","(2, True)","([1, 2], 1, False)","(1, True)","([2, 2], 0, True)","(2, False)","([1, 2], 1, False)","(1, True)","([0, 2], 0, False)","(1, False)","([2, 2], 0, True)","(2, False)","([2, 2], 1, True)","(1, False)","([2, 2], 1, False)","(1, False)","([0, 2], 1, True)","(0, False)","([0, 2], 1, True)","(1, True)","([1, 2], 1, False)","(2, False)","([2, 2], 1, True)","[0.6, 0.9]",[]
9,G3.1.3,service9,"(1, True)","([0, 2], 0, False)","(1, False)","([2, 2], 1, False)","(1, False)","([1, 2], 1, True)","(1, False)","([2, 2], 0, False)","(0, True)","([2, 2], 0, False)","(1, True)","([0, 2], 1, False)","(1, True)","([0, 2], 0, False)","(0, False)","([1, 2], 1, False)","(0, True)","([0, 2], 0, False)","(0, False)","([1, 2], 1, True)","(1, True)","([1, 2], 1, False)","(1, True)","([2, 2], 0, False)","(1, True)","([0, 2], 1, False)","(2, False)","([2, 2], 1, True)","(0, False)","([0, 2], 0, True)","(0, True)","([0, 2], 0, True)","(1, False)","([0, 2], 0, False)","(1, False)","([2, 2], 0, True)","(0, False)","([0, 2], 0, True)","(1, False)","([1, 2], 1, True)","(0, True)","([1, 2], 0, False)","(0, True)","([1, 2], 1, False)","(1, False)","([2, 2], 0, True)","(1, False)","([0, 2], 0, False)","(1, False)","([0, 2], 0, False)","[0.6, 0.9]","[('sd10', 0), ('sd17', 2), ('sd4', 1), ('sd15', 1)]"
