,SERVICES,SERVICE_DATA,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
G1.1.1,46.25,46.25,0.8098785262939674,0.9975,0.9429801030560194,0.15587058458545905,0.004999999999999999,0.04760499674880255
G1.1.2,46.25,46.25,0.8103205128205129,0.9972346230158731,0.9388247839756305,0.2040101279413134,0.005530753968253971,0.04886676548522176
G1.1.3,46.25,46.25,0.8213606630200199,0.9985294117647059,0.9288837184084053,0.10713785681275059,0.002941176470588236,0.04635041847889522
G1.2.1,46.25,46.25,0.39938466785606797,1.0,0.9794018986432476,0.2254127524341304,0.0,0.016871280514711078
G1.2.2,46.25,46.25,0.4024938781320905,1.0,0.9724726471060479,0.26581043683102745,0.0,0.019568550935070754
G1.2.3,46.25,46.25,0.4782114921155216,1.0,0.9665288148823121,0.23887953655289662,0.0,0.01781634989899348
G1.3.1,46.25,46.25,0.9040362115954221,1.0,0.9385464462581166,0.12148524180398819,0.0,0.03524813881733021
G1.3.2,46.25,46.25,0.9355423604710562,1.0,0.93442838387958,0.07965684691999336,0.0,0.0330352803225671
G1.3.3,46.25,46.25,0.9252769818338591,1.0,0.934592569691022,0.08931184364000126,0.0,0.03491923502821615
G2.1.1,46.25,46.25,0.7960176282051281,0.9992647058823529,0.9276187158827209,0.08452250834988426,0.001470588235294118,0.044381941249149834
G2.1.2,46.25,46.25,0.7562698412698413,0.9988399621212121,0.9342631797167429,0.09867615367665437,0.002320075757575757,0.04062114857525492
G2.1.3,46.25,46.25,0.8368598126052171,0.9966269841269841,0.9351707924229378,0.09054775641702224,0.005753968253968255,0.0420819829537979
G2.2.1,46.25,46.25,0.603971526796393,1.0,0.9720323491309371,0.2505537137887651,0.0,0.021661911939707356
G2.2.2,46.25,46.25,0.6196161179410271,1.0,0.9668165183919932,0.27600518516111383,0.0,0.02291012059811653
G2.2.3,46.25,46.25,0.6556600630915184,1.0,0.9577203699023064,0.21102130058266697,0.0,0.01738052769404286
G2.3.1,46.25,46.25,0.9441145833333333,1.0,0.9018970780706209,0.06378998900280342,0.0,0.04179462489748301
G2.3.2,46.25,46.25,0.948478437323546,1.0,0.9029356247046011,0.08434059858180173,0.0,0.04334748057931796
G2.3.3,46.25,46.25,0.9786783168877946,0.9975,0.8872607740648257,0.02528635114759136,0.0030618621784789714,0.04674661765626225
G3.1.1,46.25,46.25,0.8024624925727867,0.9946428571428572,0.9417833901755658,0.13537151950427107,0.010714285714285716,0.03845463838602747
G3.1.2,46.25,46.25,0.7735388222888223,0.9996621621621622,0.9419187269003433,0.1671212859983126,0.0006756756756756743,0.033296389720950975
G3.1.3,46.25,46.25,0.805758587520441,1.0,0.9282554921334849,0.13336293819142278,0.0,0.04681647833597965
G3.2.1,46.25,46.25,0.4602554304237965,1.0,0.9777050699563616,0.24412865626719654,0.0,0.01956705412889778
G3.2.2,46.25,46.25,0.46904351499945246,1.0,0.9724144256737923,0.3003338518470747,0.0,0.020120414019897618
G3.2.3,46.25,46.25,0.4622111378063003,1.0,0.9655171167750981,0.24143146356130624,0.0,0.01857393774258407
G3.3.1,46.25,46.25,0.9104155976238356,0.9982142857142857,0.9393460563991813,0.11861007311307512,0.0035714285714285726,0.03211895827665787
G3.3.2,46.25,46.25,0.8937637672351288,1.0,0.9239958211374246,0.13098270545024335,0.0,0.03885481280300272
G3.3.3,46.25,46.25,0.9003229218936294,0.99875,0.9448134456634447,0.07492490860629758,0.002499999999999999,0.026410874458651597
G4.1.1,46.25,46.25,0.731779145669432,1.0,0.9526176333358898,0.2234162840247929,0.0,0.03743614926784597
G4.1.2,46.25,46.25,0.7820298333847095,0.99921875,0.9376693563913425,0.2422247789294053,0.0015624999999999999,0.04756625723436513
G4.1.3,46.25,46.25,0.7104239670882587,0.9932142857142857,0.9547966006130146,0.19309591403536708,0.013571428571428573,0.0268634838299113
G4.2.1,46.25,46.25,0.33197040593997557,1.0,0.9782813476743488,0.27518899982016615,0.0,0.018194836585282842
G4.2.2,46.25,46.25,0.3193855874660828,1.0,0.9810014432431116,0.24200649336041125,0.0,0.020785678926895784
G4.2.3,46.25,46.25,0.2911360211361259,1.0,0.9765931170265717,0.19319354444277476,0.0,0.01896361891715588
G4.3.1,46.25,46.25,0.6780321412522657,1.0,0.9667586756802409,0.21701710987037168,0.0,0.02179004397212459
G4.3.2,46.25,46.25,0.7432360680692391,1.0,0.950933699232561,0.21127021860296108,0.0,0.03107833167434188
G4.3.3,46.25,46.25,0.7151531703396985,1.0,0.9592864443042446,0.1916928369418256,0.0,0.020333349514126083
