,SERVICES,SERVICE_DATA,AVG_SUCC_RATE_OUR,AVG_SUCC_RATE_SOA,AVG_SATISFACTION,STD_SUCC_RATE_OUR,STD_SUCC_RATE_SOA,STD_SATISFACTION
G1.1.1,46.25,46.25,0.6581250000000001,0.0,0.6029611030166007,0.07298228126449942,0.0,0.014376525363146958
G1.1.2,46.25,46.25,0.66225,0.0,0.5972072608486032,0.09304642949007909,0.0,0.020526858118237557
G1.1.3,46.25,46.25,0.665125,0.0,0.5911076356055129,0.0788754427587437,0.0,0.021249061679343983
G1.2.1,46.25,46.25,0.976625,0.0,0.7787104519081842,0.02003141949998835,0.0,0.014126725756888378
G1.2.2,46.25,46.25,0.984625,0.0,0.776750324756275,0.01309636611160634,0.0,0.014483919161123118
G1.2.3,46.25,46.25,0.986625,0.0,0.7737887138053345,0.009625605803790738,0.0,0.012763480863929064
G1.3.1,46.25,46.25,0.9437500000000001,0.0,0.6971236504010092,0.03016409925308228,0.0,0.01270266883331452
G1.3.2,46.25,46.25,0.937125,0.0,0.6987204254259164,0.02956779176567407,0.0,0.0147891239695381
G1.3.3,46.25,46.25,0.9375,0.0,0.6970233735860162,0.03138896444448052,0.0,0.015054294533241641
G2.1.1,46.25,46.25,0.66875,0.0,0.5826104238489558,0.06654992346792217,0.0,0.01916689155241106
G2.1.2,46.25,46.25,0.6321249999999999,0.0,0.5816393839770334,0.09450367324426938,0.0,0.022367074920049166
G2.1.3,46.25,46.25,0.6599999999999999,0.0,0.5812152825012679,0.07124456767001502,0.0,0.025842468860484143
G2.2.1,46.25,46.25,0.980125,0.0,0.772969365191742,0.01382957607131788,0.0,0.011900140256908501
G2.2.2,46.25,46.25,0.98175,0.0,0.7727091602751994,0.010360957801501262,0.0,0.012906370896250824
G2.2.3,46.25,46.25,0.979,0.0,0.7733283600670353,0.01516193901472474,0.0,0.013229949853889396
G2.3.1,46.25,46.25,0.94025,0.0,0.6918109219368955,0.03987443877812238,0.0,0.01810929586860732
G2.3.2,46.25,46.25,0.9416249999999999,0.0,0.6964210558775346,0.034786005604890105,0.0,0.01385482381412948
G2.3.3,46.25,46.25,0.930375,0.0,0.6898738100847968,0.039379459557670006,0.0,0.01690082827315832
G3.1.1,46.25,46.25,0.651625,0.0,0.5941958428118486,0.08970105989541717,0.0,0.022437258642089914
G3.1.2,46.25,46.25,0.66775,0.0,0.5900970926866405,0.09229358849367511,0.0,0.021685557985254497
G3.1.3,46.25,46.25,0.6683749999999999,0.0,0.5923087548029977,0.07766972970604416,0.0,0.018339875908503396
G3.2.1,46.25,46.25,0.977625,0.0,0.7773846376367544,0.01815323923266695,0.0,0.012914576482528974
G3.2.2,46.25,46.25,0.983,0.0,0.777660818033623,0.013476296757423036,0.0,0.010871932696529144
G3.2.3,46.25,46.25,0.972125,0.0,0.7752625147147538,0.014196505938815381,0.0,0.012717926643122875
G3.3.1,46.25,46.25,0.930875,0.0,0.6986169154205959,0.04277570303445874,0.0,0.014034533343410526
G3.3.2,46.25,46.25,0.9337500000000001,0.0,0.6982437348200157,0.043481726240708826,0.0,0.01381779706019333
G3.3.3,46.25,46.25,0.9465000000000001,0.0,0.69629831565497,0.024404745648430495,0.0,0.016233399083486186
G4.1.1,46.25,46.25,0.6895,0.0,0.6066042173400507,0.08763783350067025,0.0,0.016339294126129885
G4.1.2,46.25,46.25,0.6976249999999999,0.0,0.6114367074621343,0.08283241797098473,0.0,0.02109604158564131
G4.1.3,46.25,46.25,0.676125,0.0,0.6116595465618657,0.07516179493046252,0.0,0.016370603346410002
G4.2.1,46.25,46.25,0.983375,0.0,0.7827765110306489,0.013627234943777813,0.0,0.013710057565537262
G4.2.2,46.25,46.25,0.98375,0.0,0.7808431097572293,0.010720404405151159,0.0,0.010458458416767197
G4.2.3,46.25,46.25,0.978875,0.0,0.7787195234797538,0.01650603242673803,0.0,0.011790943223303603
G4.3.1,46.25,46.25,0.947375,0.0,0.7029903611044477,0.033736796348974335,0.0,0.014690273716143204
G4.3.2,46.25,46.25,0.95475,0.0,0.7002629135577954,0.02609040897192933,0.0,0.012503019963675942
G4.3.3,46.25,46.25,0.9495,0.0,0.702762869278482,0.0250439323519417,0.0,0.018145143260842884
