,SERVICES,SERVICE_DATA,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
10_10,10,10,0.3079365079365079,1.0,0.9644444444444444,0.3578441087228407,0.0,0.045758356182164464
10_25,10,25,0.47944444444444445,1.0,0.9201428571428572,0.24195449016011664,0.0,0.045607911952347265
10_50,10,50,0.41944444444444445,1.0,0.9359999999999999,0.2298013097771826,0.0,0.044542114902640165
10_100,10,100,0.5571428571428572,1.0,0.9093333333333333,0.13434986647300842,0.0,0.02969474326842678
25_10,25,10,0.48510098776352645,1.0,0.9598262333479723,0.2648433685453397,0.0,0.013674058267143406
25_25,25,25,0.489187675070028,1.0,0.9660087719298247,0.369178708164163,0.0,0.017867454262487953
25_50,25,50,0.5651837928153717,1.0,0.9523636363636363,0.30464773710638554,0.0,0.00937025361943646
25_100,25,100,0.10557312252964428,1.0,0.976,0.08074339413176634,0.0,0.019595917942265444
50_10,50,10,0.5738658474142345,1.0,0.9770888190498216,0.22221301393613016,0.0,0.015854391860967498
50_25,50,25,0.7038902538902538,1.0,0.978007185558206,0.31722208710352195,0.0,0.008979498944167528
50_50,50,50,0.5766021671826624,1.0,0.9836239316239317,0.25253784001210944,0.0,0.008199535130760858
50_100,50,100,0.1490104766420556,1.0,0.9890545454545455,0.1038974002806513,0.0,0.009622563016590984
100_10,100,10,0.878834581371487,1.0,0.9807669810287886,0.178733039604251,0.0,0.006608442817284933
100_25,100,25,0.6274232850983947,1.0,0.9910198477118118,0.32771319347457084,0.0,0.007786581552577377
100_50,100,50,0.3940906272091232,1.0,0.9912666666666666,0.3040094805124621,0.0,0.0014733852848222778
100_100,100,100,0.33865280289330923,1.0,0.9895137844611529,0.13238354684184592,0.0,0.00042638937981225467
