,SERVICES,SERVICE_DATA,AVG_SUCC_RATE_OUR,AVG_SUCC_RATE_SOA,AVG_SATISFACTION,STD_SUCC_RATE_OUR,STD_SUCC_RATE_SOA,STD_SATISFACTION
10_10,10,10,0.8600000000000001,0.0,0.7477777777777778,0.04898979485566355,0.0,0.04200418850367014
10_25,10,25,0.9199999999999999,0.0,0.7634000000000001,0.07483314773547882,0.0,0.021052738011426864
10_50,10,50,1.0,0.0,0.7584000000000003,0.0,0.0,0.01817250670656089
10_100,10,100,1.0,0.0,0.7656000000000005,0.0,0.0,0.00849941174435032
25_10,25,10,0.944,0.0,0.7818974967061922,0.04079215610874226,0.0,0.013292052318657916
25_25,25,25,1.0,0.0,0.7731200000000001,0.0,0.0,0.012451248933340028
25_50,25,50,1.0,0.0,0.7752000000000003,0.0,0.0,0.012486152329681057
25_100,25,100,1.0,0.0,0.7807200000000004,0.0,0.0,0.009822097535659043
50_10,50,10,0.916,0.0,0.7914878129117259,0.026532998322843185,0.0,0.01708900286990418
50_25,50,25,0.9879999999999999,0.0,0.7865632653061225,0.009797958971132722,0.0,0.010049188479070313
50_50,50,50,1.0,0.0,0.7738400000000004,0.0,0.0,0.005637588136783332
50_100,50,100,1.0,0.0,0.7789200000000005,0.0,0.0,0.0042980926002123485
100_10,100,10,0.942,0.0,0.7896350153734852,0.015999999999999966,0.0,0.013553593678619073
100_25,100,25,0.984,0.0,0.7784788673607526,0.01019803902718558,0.0,0.010196328055813905
100_50,100,50,1.0,0.0,0.7792400000000004,0.0,0.0,0.0033187949620306335
100_100,100,100,1.0,0.0,0.7799200000000006,0.0,0.0,0.0015638414241859531
